inst#,actual,predicted,error,commodity_name
315,172.5,177.456,4.956,'Broiler chicken'
316,157.5,157.42,-0.08,'Palm Oil'
317,47,49.355,2.355,'Egg Farm-Red'
318,145,145.731,0.731,'Lentils - Desi-Whole'
319,52.5,52.491,-0.009,'Ata (Packet)'
320,75.833,67.947,-7.886,'Onion (local)'
321,163.333,166.941,3.608,'Broiler chicken'
322,162.333,159.54,-2.793,'Palm Oil'
323,46.25,46.271,0.021,'Ata (loose) - White'
324,65,67.522,2.522,'Rice - Medium'
325,43,46.146,3.146,'Egg Farm-Red'
326,46.25,47.079,0.829,'Ata (loose) - White'
327,72.5,69.501,-2.999,'Onion (local)'
328,710,711.893,1.893,Beef
329,215,196.246,-18.754,'Ginger (Imported)'
330,77,78.763,1.763,'Rice - Fine'
331,19,20.159,1.159,'Potato (Holland) - Red'
332,165,163.322,-1.678,'Ginger (Imported)'
333,768.333,755.784,-12.55,Beef
334,173.125,177.414,4.289,'Broiler chicken'
335,175,170.815,-4.185,'Pangash (big)'
336,130,151.237,21.237,'Green Chili (Local)'
337,110,105.433,-4.567,'Garlic (local) - Big Size'
338,155,155.732,0.732,'Garlic (Imported)'
339,75,68.711,-6.289,'Onion (local)'
340,147.5,138.603,-8.897,'Lentils - Desi-Whole'
341,162.333,159.482,-2.852,'Palm Oil'
342,44.333,44.26,-0.074,'Ata (loose) - White'
343,200,202.416,2.416,'Green Chili (Local)'
344,165,162.711,-2.289,'Ginger (Imported)'
345,19,19.746,0.746,'Potato (Holland) - Red'
346,165,201.975,36.975,'Green Chili (Local)'
347,45.5,49.273,3.773,'Egg Farm-Red'
348,171.5,172.284,0.784,'Soybean Oil(loose)'
349,181.667,154.534,-27.132,'Green Chili (Local)'
350,170,164.844,-5.156,'Palm Oil'
351,47,47.361,0.361,'Ata (loose) - White'
352,90,91.993,1.993,'Garlic (local) - Big Size'
353,175,177.466,2.466,'Pangash (big)'
354,174.5,175.656,1.156,'Soybean Oil(loose)'
355,157.5,157.205,-0.295,'Palm Oil'
356,175,177.476,2.476,'Pangash (big)'
357,105,100.625,-4.375,'Garlic (local) - Big Size'
358,72.5,68.939,-3.561,'Onion (local)'
359,170,167.124,-2.876,'Broiler chicken'
360,19,19.951,0.951,'Potato (Holland) - Red'
361,155,148.56,-6.44,'Garlic (Imported)'
362,768.333,758.174,-10.16,Beef
363,110,100.609,-9.391,'Garlic (local) - Big Size'
364,150,149.972,-0.028,'Green Chili (Local)'
365,47,47.14,0.14,'Ata (loose) - White'
366,167.5,164.287,-3.213,'Broiler chicken'
367,162.333,159.134,-3.199,'Palm Oil'
368,149.167,151.873,2.706,'Garlic (Imported)'
369,41,45.742,4.742,'Egg Farm-Red'
370,170,167.939,-2.061,'Palm Oil'
371,172.5,169.589,-2.911,'Broiler chicken'
372,77,77.655,0.655,'Rice - Fine'
373,72.5,68.458,-4.042,'Onion (local)'
374,52.5,51.907,-0.593,'Ata (Packet)'
375,110,105.227,-4.773,'Garlic (local) - Big Size'
376,157.5,158.439,0.939,'Palm Oil'
377,112.5,108.155,-4.345,'Garlic (local) - Big Size'
378,47.875,46.966,-0.909,'Egg Farm-Red'
379,57.667,55.889,-1.778,'Ata (Packet)'
380,175,177.466,2.466,'Pangash (big)'
381,165,164.384,-0.616,'Broiler chicken'
382,175.75,175.338,-0.412,'Soybean Oil(loose)'
383,57.667,57.558,-0.109,'Ata (Packet)'
384,46.5,48.839,2.339,'Egg Farm-Red'
385,77,78.952,1.952,'Rice - Fine'
386,155,150.324,-4.676,'Green Chili (Local)'
387,47,48.305,1.305,'Ata (loose) - White'
388,167.5,169.973,2.473,'Ginger (Imported)'
389,177.5,174.98,-2.52,'Broiler chicken'
390,49,49.662,0.662,'Ata (loose) - White'
391,154.5,162.126,7.626,'Palm Oil'
392,200,199.985,-0.015,'Green Chili (Local)'
393,200,200.113,0.113,'Green Chili (Local)'
394,190,192.816,2.816,'Ginger (Imported)'
395,172.5,170.842,-1.658,'Broiler chicken'
396,67.5,71.479,3.979,'Onion (local)'
397,64,66.727,2.727,'Rice - Medium'
398,83.5,82.994,-0.506,'Rice - Fine'
399,77,78.96,1.96,'Rice - Fine'
400,165,165.512,0.512,'Ginger (Imported)'
401,163.333,177.484,14.15,'Broiler chicken'
402,727.5,728.979,1.479,Beef
403,155,202.839,47.839,'Green Chili (Local)'
404,150,150.011,0.011,'Green Chili (Local)'
405,45,48.904,3.904,'Egg Farm-Red'
406,185,186.966,1.966,'Pangash (big)'
407,172.5,175.815,3.315,'Broiler chicken'
408,155,156.586,1.586,'Garlic (Imported)'
409,735,736.233,1.233,Beef
410,171.5,173.275,1.775,'Soybean Oil(loose)'
411,167.5,170.408,2.908,'Ginger (Imported)'
412,180,147.376,-32.624,'Green Chili (Local)'
413,175.75,175.364,-0.386,'Soybean Oil(loose)'
414,49,50.845,1.845,'Ata (Packet)'
415,157.5,158.323,0.823,'Palm Oil'
416,210,180.255,-29.745,'Ginger (Imported)'
417,79,79.984,0.984,'Rice - Fine'
418,41,45.765,4.765,'Egg Farm-Red'
