Target_Horizon,Model,commodity_name,MSE,RMSE,R,RAE (%),MAPE (%)
target_7,Linear Regression (Random),'Broiler chicken',1111.593,33.3406,0.0766,89.53,5.33
target_7,M5P (Random),'Broiler chicken',878.1949,29.6344,0.2129,73.08,4.19
target_7,Random Forest (Random),'Broiler chicken',285.87,16.9077,0.8647,49.95,3.05
target_7,XGBoost (Random),'Broiler chicken',432.0881,20.7867,0.7357,56.7,3.42
target_7,Gradient Boosting (Random),'Egg Farm-Red',5.1788,2.2757,0.8404,51.49,4.36
target_7,Linear Regression (Random),'Egg Farm-Red',8.4463,2.9062,0.7205,66.87,5.67
target_7,M5P (Random),'Egg Farm-Red',7.0915,2.663,0.8216,64.5,5.54
target_7,Random Forest (Random),'Egg Farm-Red',16.9372,4.1155,0.7385,98.21,8.41
target_7,XGBoost (Random),'Egg Farm-Red',2.8326,1.683,0.9159,36.75,3.08
target_7,Gradient Boosting (Random),'Garlic (Imported)',132.5445,11.5128,0.8708,47.45,5.33
target_7,Linear Regression (Random),'Garlic (Imported)',208.1416,14.4271,0.7921,61.97,6.99
target_7,M5P (Random),'Garlic (Imported)',100.8151,10.0407,0.9026,39.84,4.54
target_7,Random Forest (Random),'Garlic (Imported)',49.1588,7.0113,0.9533,27.01,3.02
target_7,XGBoost (Random),'Garlic (Imported)',63.8982,7.9936,0.9375,31.74,3.56
target_7,Gradient Boosting (Random),'Garlic (local) - Big Size',102.0042,10.0997,0.7079,59.0,7.65
target_7,Linear Regression (Random),'Garlic (local) - Big Size',100.8678,10.0433,0.7147,62.48,8.26
target_7,M5P (Random),'Garlic (local) - Big Size',108.2621,10.4049,0.7046,58.92,7.52
target_7,Random Forest (Random),'Garlic (local) - Big Size',33.3571,5.7756,0.9208,34.36,4.46
target_7,XGBoost (Random),'Garlic (local) - Big Size',62.2743,7.8914,0.833,45.46,5.93
target_7,Gradient Boosting (Random),'Ginger (Imported)',205.3017,14.3284,0.7375,56.33,6.21
target_7,Linear Regression (Random),'Ginger (Imported)',258.3201,16.0723,0.6499,68.78,7.63
target_7,M5P (Random),'Ginger (Imported)',193.6202,13.9147,0.7545,56.47,6.27
target_7,Random Forest (Random),'Ginger (Imported)',60.2872,7.7645,0.933,31.02,3.42
target_7,XGBoost (Random),'Ginger (Imported)',103.7034,10.1835,0.8753,42.05,4.64
target_7,Gradient Boosting (Random),'Green Chili (Local)',4205.5662,64.8503,0.6067,66.35,23.62
target_7,Linear Regression (Random),'Green Chili (Local)',6865.7817,82.86,0.2864,78.25,30.37
target_7,M5P (Random),'Green Chili (Local)',6087.6267,78.0232,0.4506,69.39,28.75
target_7,Random Forest (Random),'Green Chili (Local)',2210.2576,47.0134,0.8216,43.31,14.58
target_7,XGBoost (Random),'Green Chili (Local)',1764.7946,42.0095,0.8569,41.84,14.19
target_7,Gradient Boosting (Random),'Lentils - Desi-Whole',178.1175,13.3461,0.381,64.28,4.1
target_7,Linear Regression (Random),'Lentils - Desi-Whole',106.0656,10.2988,0.5231,65.31,4.1
target_7,M5P (Random),'Lentils - Desi-Whole',127.449,11.2893,0.4512,61.51,3.9
target_7,Random Forest (Random),'Lentils - Desi-Whole',82.5853,9.0876,0.6598,51.79,3.3
target_7,XGBoost (Random),'Lentils - Desi-Whole',50.4565,7.1033,0.8094,46.02,2.86
target_7,Gradient Boosting (Random),'Onion (local)',102.3832,10.1185,0.9032,30.99,10.33
target_7,Linear Regression (Random),'Onion (local)',203.2451,14.2564,0.8115,52.12,18.0
target_7,M5P (Random),'Onion (local)',137.7116,11.7351,0.8684,36.93,12.1
target_7,Random Forest (Random),'Onion (local)',31.9229,5.65,0.971,18.14,6.82
target_7,XGBoost (Random),'Onion (local)',55.809,7.4705,0.9487,19.14,6.8
target_7,Gradient Boosting (Random),'Palm Oil',66.2135,8.1372,0.5167,35.71,1.12
target_7,Linear Regression (Random),'Palm Oil',70.8972,8.42,0.4619,55.51,1.81
target_7,M5P (Random),'Palm Oil',66.2907,8.1419,0.5145,41.33,1.31
target_7,Random Forest (Random),'Palm Oil',62.3245,7.8946,0.5555,42.48,1.36
target_7,XGBoost (Random),'Palm Oil',65.8745,8.1163,0.5183,34.66,1.09
target_7,Gradient Boosting (Random),'Pangash (big)',42.5152,6.5204,0.7389,43.27,1.84
target_7,Linear Regression (Random),'Pangash (big)',48.5583,6.9684,0.708,58.25,2.52
target_7,M5P (Random),'Pangash (big)',50.5265,7.1082,0.6694,56.36,2.42
target_7,Random Forest (Random),'Pangash (big)',31.0777,5.5747,0.8133,37.75,1.63
target_7,XGBoost (Random),'Pangash (big)',29.9792,5.4753,0.8226,40.54,1.75
target_7,Gradient Boosting (Random),'Potato (Holland) - Red',21.8458,4.674,0.5643,86.76,15.21
target_7,Linear Regression (Random),'Potato (Holland) - Red',29.1243,5.3967,0.2997,99.61,17.07
target_7,M5P (Random),'Potato (Holland) - Red',23.8609,4.8848,0.4767,80.27,13.16
target_7,Random Forest (Random),'Potato (Holland) - Red',21.0931,4.5927,0.6052,74.65,12.69
target_7,XGBoost (Random),'Potato (Holland) - Red',16.9392,4.1157,0.6628,59.52,9.61
target_7,Gradient Boosting (Random),'Rice - Fine',2.7104,1.6463,0.7108,72.2,1.62
target_7,Linear Regression (Random),'Rice - Fine',2.1216,1.4566,0.7758,67.57,1.5
target_7,M5P (Random),'Rice - Fine',1.4949,1.2226,0.8431,53.26,1.18
target_7,Random Forest (Random),'Rice - Fine',4.0115,2.0029,0.8325,96.12,2.13
target_7,XGBoost (Random),'Rice - Fine',0.8861,0.9413,0.8992,39.58,0.88
target_7,Gradient Boosting (Random),'Rice - Medium',5.6477,2.3765,0.7363,108.34,2.82
target_7,Linear Regression (Random),'Rice - Medium',3.0896,1.7577,0.6834,84.15,2.21
target_7,M5P (Random),'Rice - Medium',6.2998,2.5099,0.7726,129.38,3.41
target_7,Random Forest (Random),'Rice - Medium',3.2864,1.8128,0.8192,84.39,2.2
target_7,XGBoost (Random),'Rice - Medium',2.4486,1.5648,0.7505,60.3,1.59
target_7,Gradient Boosting (Random),'Soybean Oil(loose)',10.5327,3.2454,0.8885,32.17,1.03
target_7,Linear Regression (Random),'Soybean Oil(loose)',15.1117,3.8874,0.867,47.67,1.53
target_7,M5P (Random),'Soybean Oil(loose)',14.731,3.8381,0.8376,46.74,1.49
target_7,Random Forest (Random),'Soybean Oil(loose)',8.7961,2.9658,0.9138,35.5,1.15
target_7,XGBoost (Random),'Soybean Oil(loose)',10.5019,3.2407,0.8956,24.76,0.79
target_7,Gradient Boosting (Random),Beef,50.9773,7.1398,0.9552,24.17,0.55
target_7,Linear Regression (Random),Beef,113.023,10.6312,0.9404,42.52,0.96
target_7,M5P (Random),Beef,64.1438,8.009,0.9432,27.81,0.63
target_7,Random Forest (Random),Beef,37.5593,6.1286,0.9676,15.38,0.35
target_7,XGBoost (Random),Beef,77.9392,8.8283,0.9348,18.97,0.43
target_7,Gradient Boosting (Random),Milk,2.5366,1.5927,0.9968,13.15,1.66
target_7,Linear Regression (Random),Milk,15.7595,3.9698,0.987,35.53,4.4
target_7,M5P (Random),Milk,7.7488,2.7837,0.9951,22.35,2.58
target_7,Random Forest (Random),Milk,0.7338,0.8566,0.9973,5.31,0.75
target_7,XGBoost (Random),Milk,1.7438,1.3205,0.9931,8.69,1.04
