inst#,actual,predicted,error,commodity_name
363,45.5,41.787,-3.713,'Ata (loose) - White'
364,44.5,40.574,-3.926,'Ata (loose) - White'
365,43.5,44.762,1.262,'Ata (loose) - White'
366,43.5,41.787,-1.713,'Ata (loose) - White'
367,42.5,42.932,0.432,'Ata (loose) - White'
368,770,765.666,-4.334,Beef
369,728.333,734.865,6.532,Beef
370,745,743.988,-1.012,Beef
371,720,724.592,4.592,Beef
372,710,708.664,-1.336,Beef
373,735,750.115,15.115,Beef
374,166.25,157.858,-8.392,'Broiler chicken'
375,175,168.433,-6.567,'Broiler chicken'
376,167.5,159.543,-7.957,'Broiler chicken'
377,172.5,167.494,-5.006,'Broiler chicken'
378,177.5,169.434,-8.066,'Broiler chicken'
379,165,159.683,-5.317,'Broiler chicken'
380,48,44.762,-3.238,'Egg Farm-Red'
381,48.5,44.762,-3.738,'Egg Farm-Red'
382,44.5,44.762,0.262,'Egg Farm-Red'
383,45,44.762,-0.238,'Egg Farm-Red'
384,45.5,44.762,-0.738,'Egg Farm-Red'
385,49,45.623,-3.377,'Egg Farm-Red'
386,153.75,167.254,13.504,'Garlic (Imported)'
387,155,173.153,18.153,'Garlic (Imported)'
388,125,141.896,16.896,'Garlic (Imported)'
389,150,156.087,6.087,'Garlic (Imported)'
390,205,187.784,-17.216,'Garlic (Imported)'
391,130,138.57,8.57,'Garlic (Imported)'
392,110,134.953,24.953,'Garlic (local) - Big Size'
393,113.333,106.074,-7.259,'Garlic (local) - Big Size'
394,95,99.297,4.297,'Garlic (local) - Big Size'
395,105,100.556,-4.444,'Garlic (local) - Big Size'
396,110,102.001,-7.999,'Garlic (local) - Big Size'
397,105,101.803,-3.197,'Garlic (local) - Big Size'
398,197.5,178.149,-19.351,'Ginger (Imported)'
399,163.333,177.64,14.306,'Ginger (Imported)'
400,125,148.554,23.554,'Ginger (Imported)'
401,165,163.212,-1.788,'Ginger (Imported)'
402,165,113.38,-51.62,'Ginger (Imported)'
403,165,161.593,-3.407,'Ginger (Imported)'
404,208.75,166.939,-41.811,'Green Chili (Local)'
405,205,181.76,-23.24,'Green Chili (Local)'
406,145,174.592,29.592,'Green Chili (Local)'
407,160,175.687,15.687,'Green Chili (Local)'
408,170,181.727,11.727,'Green Chili (Local)'
409,175,169.078,-5.922,'Green Chili (Local)'
410,147.5,146.644,-0.856,'Lentils - Desi-Whole'
411,145,138.872,-6.128,'Lentils - Desi-Whole'
412,135,138.872,3.872,'Lentils - Desi-Whole'
413,97.5,94.575,-2.925,Milk
414,72.5,67.413,-5.087,'Onion (local)'
415,71.667,67.413,-4.254,'Onion (local)'
416,72.5,64.898,-7.602,'Onion (local)'
417,72.5,67.413,-5.087,'Onion (local)'
418,72.5,69.978,-2.522,'Onion (local)'
419,159.25,162.342,3.092,'Palm Oil'
420,152,153.709,1.709,'Palm Oil'
421,157.5,153.709,-3.791,'Palm Oil'
422,154.5,153.709,-0.791,'Palm Oil'
423,156.5,158.08,1.58,'Palm Oil'
424,164,163.867,-0.133,'Palm Oil'
425,167.5,179.6,12.1,'Pangash (big)'
426,175,178.84,3.84,'Pangash (big)'
427,170,170.589,0.589,'Pangash (big)'
428,175,178.84,3.84,'Pangash (big)'
429,165,165.891,0.891,'Pangash (big)'
430,19,20.617,1.617,'Potato (Holland) - Red'
431,19,20.617,1.617,'Potato (Holland) - Red'
432,83.5,87.665,4.165,'Rice - Fine'
433,79.75,79.182,-0.568,'Rice - Fine'
434,77.5,79.182,1.682,'Rice - Fine'
435,79,79.182,0.182,'Rice - Fine'
436,68.5,69.32,0.82,'Rice - Medium'
437,63,64.323,1.323,'Rice - Medium'
438,64,64.323,0.323,'Rice - Medium'
439,63.5,61.107,-2.393,'Rice - Medium'
440,65,68.179,3.179,'Rice - Medium'
441,176,179.077,3.077,'Soybean Oil(loose)'
442,172,172.58,0.58,'Soybean Oil(loose)'
443,171.5,169.683,-1.817,'Soybean Oil(loose)'
444,169,169.683,0.683,'Soybean Oil(loose)'
445,173.5,169.683,-3.817,'Soybean Oil(loose)'
446,182.5,183.37,0.87,'Soybean Oil(loose)'
447,51,53.692,2.692,'Ata (Packet)'
448,57.5,53.957,-3.543,'Ata (Packet)'
449,52.5,52.525,0.025,'Ata (Packet)'
