inst#,actual,predicted,error,commodity_name
295,46.25,46.025,-0.225,'Ata (loose) - White'
296,64,62.285,-1.715,'Rice - Medium'
297,43.5,44.508,1.008,'Egg Farm-Red'
298,46.833,45.222,-1.612,'Egg Farm-Red'
299,735,748.801,13.801,Beef
300,170,165.407,-4.593,'Palm Oil'
301,110,98.591,-11.409,'Garlic (local) - Big Size'
302,155,166.426,11.426,'Green Chili (Local)'
303,171.5,174.704,3.204,'Soybean Oil(loose)'
304,178.667,180.484,1.817,'Soybean Oil(loose)'
305,768.333,763.244,-5.089,Beef
306,163.333,165.454,2.121,'Broiler chicken'
307,200,133.946,-66.054,'Green Chili (Local)'
308,172.5,170.888,-1.612,'Broiler chicken'
309,44.5,42.128,-2.372,'Egg Farm-Red'
310,150,157.539,7.539,'Garlic (Imported)'
311,63,64.185,1.185,'Rice - Medium'
312,157.5,159.437,1.937,'Palm Oil'
313,182.5,185.114,2.614,'Soybean Oil(loose)'
314,190,184.023,-5.977,'Garlic (Imported)'
315,182.5,174.436,-8.064,'Broiler chicken'
316,157.5,157.107,-0.393,'Palm Oil'
317,44.5,46.655,2.155,'Egg Farm-Red'
318,145,143.033,-1.967,'Lentils - Desi-Whole'
319,55.5,53.644,-1.856,'Ata (Packet)'
320,70.833,64.178,-6.656,'Onion (local)'
321,163.333,167.544,4.21,'Broiler chicken'
322,162.833,162.625,-0.208,'Palm Oil'
323,45.2,46.549,1.349,'Ata (loose) - White'
324,65,65.686,0.686,'Rice - Medium'
325,41,42.899,1.899,'Egg Farm-Red'
326,52.083,46.146,-5.938,'Ata (loose) - White'
327,72.5,63.665,-8.835,'Onion (local)'
328,710,723.611,13.611,Beef
329,201.667,173.362,-28.305,'Ginger (Imported)'
330,77,78.05,1.05,'Rice - Fine'
331,30,20.743,-9.257,'Potato (Holland) - Red'
332,165,151.605,-13.395,'Ginger (Imported)'
333,768.333,763.34,-4.993,Beef
334,173.045,173.591,0.545,'Broiler chicken'
335,181,177.183,-3.817,'Pangash (big)'
336,168.5,247.13,78.63,'Green Chili (Local)'
337,110,104.646,-5.354,'Garlic (local) - Big Size'
338,147.625,160.63,13.005,'Garlic (Imported)'
339,71.875,64.63,-7.245,'Onion (local)'
340,147.5,143.255,-4.245,'Lentils - Desi-Whole'
341,162.833,162.722,-0.111,'Palm Oil'
342,44.333,45.62,1.287,'Ata (loose) - White'
343,201.25,168.968,-32.282,'Green Chili (Local)'
344,165,150.851,-14.149,'Ginger (Imported)'
345,19,20.695,1.695,'Potato (Holland) - Red'
346,180,154.823,-25.177,'Green Chili (Local)'
347,44.5,47.028,2.528,'Egg Farm-Red'
348,173.5,175.071,1.571,'Soybean Oil(loose)'
349,153.333,153.005,-0.328,'Green Chili (Local)'
350,167.5,165.785,-1.715,'Palm Oil'
351,49,44.736,-4.264,'Ata (loose) - White'
352,90,92.285,2.285,'Garlic (local) - Big Size'
353,175,177.34,2.34,'Pangash (big)'
354,175.5,178.377,2.877,'Soybean Oil(loose)'
355,159.5,157.561,-1.939,'Palm Oil'
356,175,179.59,4.59,'Pangash (big)'
357,105,97.542,-7.458,'Garlic (local) - Big Size'
358,72.5,63.83,-8.67,'Onion (local)'
359,170,168.806,-1.194,'Broiler chicken'
360,19,21.843,2.843,'Potato (Holland) - Red'
361,155,158.289,3.289,'Garlic (Imported)'
362,768.333,763.436,-4.897,Beef
363,100,99.103,-0.897,'Garlic (local) - Big Size'
364,190,240.643,50.643,'Green Chili (Local)'
365,49,44.827,-4.173,'Ata (loose) - White'
366,177.5,165.038,-12.462,'Broiler chicken'
367,163.5,162.601,-0.899,'Palm Oil'
368,151.667,159.516,7.85,'Garlic (Imported)'
369,43,43.656,0.656,'Egg Farm-Red'
370,167.5,167.158,-0.342,'Palm Oil'
371,175,170.268,-4.732,'Broiler chicken'
372,76,78.194,2.194,'Rice - Fine'
373,67.5,62.941,-4.559,'Onion (local)'
374,55.5,53.932,-1.568,'Ata (Packet)'
375,110,102.021,-7.979,'Garlic (local) - Big Size'
376,159,160.248,1.248,'Palm Oil'
377,112.5,104.969,-7.531,'Garlic (local) - Big Size'
378,48,46.412,-1.588,'Egg Farm-Red'
379,57.667,58.264,0.597,'Ata (Packet)'
380,175,177.484,2.484,'Pangash (big)'
381,170,165.795,-4.205,'Broiler chicken'
382,176.375,177.514,1.139,'Soybean Oil(loose)'
383,57.667,56.618,-1.049,'Ata (Packet)'
384,49,45.227,-3.773,'Egg Farm-Red'
385,77,76.321,-0.679,'Rice - Fine'
386,145,138.713,-6.287,'Green Chili (Local)'
387,49,43.184,-5.816,'Ata (loose) - White'
388,162.5,162.786,0.286,'Ginger (Imported)'
389,177.5,172.346,-5.154,'Broiler chicken'
390,49,45.422,-3.578,'Ata (loose) - White'
391,163.5,161.634,-1.866,'Palm Oil'
392,225,152.405,-72.595,'Green Chili (Local)'
393,210,170.939,-39.061,'Green Chili (Local)'
394,201.667,175.747,-25.92,'Ginger (Imported)'
395,175,168.74,-6.26,'Broiler chicken'
396,70.833,64.441,-6.392,'Onion (local)'
397,64,60.896,-3.104,'Rice - Medium'
398,83.5,80.4,-3.1,'Rice - Fine'
399,77,76.363,-0.637,'Rice - Fine'
