Target_Horizon,Model,commodity_name,MSE,RMSE,R,RAE (%),MAPE (%)
target_7,M5P,'Rice - Medium',15.5768,3.9467,0.4684,193.26,4.66
target_7,Random Forest,'Rice - Medium',3.8672,1.9665,0.51,103.92,2.6
target_7,XGBoost,'Rice - Medium',2.9235,1.7098,0.6899,83.55,2.08
target_7,Gradient Boosting,'Soybean Oil(loose)',18.2636,4.2736,0.471,64.01,1.04
target_7,Linear Regression,'Soybean Oil(loose)',45.9992,6.7823,0.5324,203.03,3.16
target_7,M5P,'Soybean Oil(loose)',66.8049,8.1734,0.0468,244.36,3.78
target_7,Random Forest,'Soybean Oil(loose)',20.7224,4.5522,0.4823,81.89,1.3
target_7,XGBoost,'Soybean Oil(loose)',18.3083,4.2788,0.4996,65.08,1.06
target_7,Gradient Boosting,Beef,466.8101,21.6058,0.7727,28.65,0.88
target_7,Linear Regression,Beef,577.8215,24.0379,0.7758,61.88,1.73
target_7,M5P,Beef,565.6275,23.7829,0.7446,39.88,1.18
target_7,Random Forest,Beef,499.8306,22.3569,0.7596,32.55,0.98
target_7,XGBoost,Beef,493.8449,22.2226,0.7609,33.55,1.01
target_7,Gradient Boosting,Milk,2.4479,1.5646,0.9969,11.55,1.52
target_7,Linear Regression,Milk,32.4778,5.6989,0.9881,44.57,5.14
target_7,M5P,Milk,1.1483,1.0716,0.9966,9.11,1.17
target_7,Random Forest,Milk,0.8816,0.939,0.9967,6.08,0.85
target_7,XGBoost,Milk,2.6062,1.6144,0.9975,13.26,1.65
